PurchaseID,PurchaseTimestamp,PurchaseDate,Auction,VehYear,Make,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,MMRCurrentRetailRatio,PRIMEUNIT,AUCGUART,VNST,VehBCost,IsOnlineSale,WarrantyCost,ForSale,IsBadBuy
10,1253232000,18/09/2009 10:00,OTHER,2008,DODGE,BLACK,AUTO,2,Covers,50569,AMERICAN,MEDIUM,CHRYSLER,8566,9325,9751,10571,7857,8711,8986,9908,0.906943884,?,?,NC,7800,0,920,Yes,0
11,1253232000,18/09/2009 10:00,OTHER,2008,MITSUBISHI,SILVER,AUTO,1,Alloy,50538,OTHER ASIAN,MEDIUM,OTHER,9325,9869,10571,11159,8621,9526,12634,14744,0.856890939,?,?,NC,8200,0,505,Yes,0
12,1253232000,18/09/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,2,Covers,51140,USA,MEDIUM,CHRYSLER,8566,9325,9751,10571,7857,8711,8986,9908,0.906943884,?,?,NC,7800,0,920,Yes,0
13,1253232000,18/09/2009 10:00,OTHER,2008,DODGE,RED,AUTO,2,Covers,53722,AMERICAN,MEDIUM,CHRYSLER,8566,9325,9751,10571,9111,10012,12397,13175,0.940948767,?,?,NC,7800,0,920,Yes,0
14,1253232000,18/09/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,2,Covers,51962,AMERICAN,MEDIUM,CHRYSLER,8566,9325,9751,10571,7781,8545,11777,12505,0.941783287,?,?,NC,7800,0,920,Yes,0
15,1253232000,18/09/2009 10:00,OTHER,2008,PONTIAC,SILVER,AUTO,2,Covers,57109,AMERICAN,LARGE,GM,9793,10769,11076,12131,8803,9748,12528,14173,0.883934241,?,?,NC,8000,0,1500,Yes,0
16,1253232000,18/09/2009 10:00,OTHER,2008,DODGE,WHITE,AUTO,2,Covers,54304,AMERICAN,MEDIUM,CHRYSLER,8566,9325,9751,10571,7857,8711,8986,9908,0.906943884,?,?,NC,7800,0,920,Yes,0
17,1253232000,18/09/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,2,Covers,50657,AMERICAN,MEDIUM,CHRYSLER,8566,9325,9751,10571,7608,8484,11640,12308,0.945726357,?,?,NC,7800,0,920,Yes,0
18,1253232000,18/09/2009 10:00,OTHER,2008,CHEVROLET,RED,AUTO,1,Alloy,61190,AMERICAN,LARGE,GM,10449,11499,11785,12919,8790,10180,12652,14681,0.861794156,?,?,NC,8300,0,1703,Yes,0
19,1253232000,18/09/2009 10:00,OTHER,2008,PONTIAC,WHITE,AUTO,2,Covers,51101,AMERICAN,MEDIUM,GM,9223,9841,10461,11128,8102,8750,12126,13096,0.925931582,?,?,NC,7800,0,837,Yes,0
20,1253232000,18/09/2009 10:00,OTHER,2008,MAZDA,BLACK,AUTO,1,Alloy,58485,OTHER ASIAN,MEDIUM,OTHER,10555,11244,11899,12644,9272,10065,13185,14313,0.921190526,?,?,NC,8800,0,1003,Yes,0
21,1253232000,18/09/2009 10:00,OTHER,2008,CHEVROLET,SILVER,AUTO,2,Covers,53323,AMERICAN,LARGE,GM,10294,11242,11618,12641,10292,11226,11615,12624,0.920072877,?,?,NC,8300,0,1500,Yes,1
22,1254182400,29/09/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,?,?,36459,AMERICAN,MEDIUM,CHRYSLER,8662,9382,9855,10633,8662,9382,9855,10633,0.926831562,?,?,CA,8050,0,762,Yes,1
23,1254182400,29/09/2009 10:00,OTHER,2008,CHRYSLER,BLUE,AUTO,2,Covers,43202,AMERICAN,MEDIUM,CHRYSLER,7363,7848,8452,8976,6402,6949,9653,10060,0.959542744,?,?,CA,6550,0,975,Yes,0
24,1254182400,29/09/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,2,Covers,44911,AMERICAN,MEDIUM,CHRYSLER,8662,9382,9855,10633,8060,8705,9205,9901,0.92970407,?,?,CA,8050,0,834,Yes,0
25,1254182400,29/09/2009 10:00,OTHER,2008,DODGE,BLUE,AUTO,2,Covers,46568,AMERICAN,MEDIUM,CHRYSLER,8662,9382,9855,10633,8060,8705,9205,9901,0.92970407,?,?,CA,8050,0,834,Yes,0
26,1254700800,5/10/2009 10:00,OTHER,2008,CHEVROLET,SILVER,AUTO,?,?,44628,AMERICAN,LARGE,GM,9941,10879,11236,12249,8648,9736,12037,13499,0.891695681,?,?,TX,8500,0,1328,Yes,0
27,1254700800,5/10/2009 10:00,OTHER,2007,SUZUKI,RED,AUTO,2,Covers,44173,OTHER ASIAN,MEDIUM,OTHER,5316,6363,6241,7372,5259,6358,6180,7367,0.838876069,?,?,CA,6050,0,482,Yes,0
28,1254700800,5/10/2009 10:00,OTHER,2008,CHEVROLET,BLACK,AUTO,?,?,40844,AMERICAN,LARGE,GM,9941,10879,11236,12249,7987,9237,11757,13308,0.883453562,?,?,TX,8500,0,1328,Yes,0
29,1254700800,5/10/2009 10:00,OTHER,2008,DODGE,WHITE,AUTO,2,Covers,49632,AMERICAN,MEDIUM,CHRYSLER,8205,8937,9361,10152,7781,8545,11777,12505,0.941783287,?,?,NC,7800,0,834,Yes,0
30,1254700800,5/10/2009 10:00,OTHER,2008,CHRYSLER,WHITE,AUTO,?,?,40459,AMERICAN,MEDIUM,CHRYSLER,7220,7708,8298,8825,6741,7224,7780,8302,0.937123585,?,?,TX,6500,0,975,Yes,0
31,1254700800,5/10/2009 10:00,OTHER,2008,CHEVROLET,BLACK,AUTO,?,?,38177,AMERICAN,LARGE,GM,9941,10879,11236,12249,8260,9547,9421,10811,0.87142725,?,?,TX,8500,0,1181,Yes,0
32,1254700800,5/10/2009 10:00,OTHER,2008,CHEVROLET,SILVER,AUTO,?,?,38169,AMERICAN,LARGE,GM,9941,10879,11236,12249,8260,9547,9421,10811,0.87142725,?,?,TX,8500,0,1181,Yes,0
33,1254700800,5/10/2009 10:00,OTHER,2008,CHEVROLET,RED,AUTO,?,?,44986,AMERICAN,LARGE,GM,9941,10879,11236,12249,8260,9547,9421,10811,0.87142725,?,?,TX,8500,0,1328,Yes,0
34,1254700800,5/10/2009 10:00,OTHER,2008,CHEVROLET,WHITE,AUTO,?,?,44785,AMERICAN,LARGE,GM,9941,10879,11236,12249,8054,9363,11578,13488,0.858392645,?,?,TX,8500,0,1328,Yes,0
35,1254873600,7/10/2009 10:00,OTHER,2004,CHEVROLET,GREEN,AUTO,1,Alloy,577,AMERICAN,MEDIUM SUV,GM,6362,7668,7371,8781,6484,7763,9999,11208,0.892130621,?,?,FL,7800,0,1155,Yes,0
36,1254960000,8/10/2009 10:00,OTHER,2008,MAZDA,BLACK,AUTO,1,Alloy,55101,OTHER ASIAN,MEDIUM,OTHER,10221,10982,11539,12361,9727,10494,11623,12839,0.905288574,?,?,NC,8800,0,1003,Yes,0
37,1254960000,8/10/2009 10:00,OTHER,2008,PONTIAC,GREY,AUTO,1,Alloy,53492,AMERICAN,MEDIUM,GM,10848,11841,12216,13288,9005,10112,13440,15317,0.877456421,?,?,NC,7500,0,1003,Yes,0
38,1254960000,8/10/2009 10:00,OTHER,2008,MAZDA,BLACK,AUTO,1,Alloy,51639,OTHER ASIAN,MEDIUM,OTHER,10221,10982,11539,12361,9375,10183,13261,14146,0.937438145,?,?,NC,8800,0,1003,Yes,0
39,1254960000,8/10/2009 10:00,OTHER,2008,CHRYSLER,BLACK,AUTO,2,Covers,47937,AMERICAN,MEDIUM,CHRYSLER,7150,7642,8222,8753,6656,7217,9947,10437,0.953051643,?,?,NC,6300,0,975,Yes,0
40,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,GREY,AUTO,2,Covers,54594,AMERICAN,MEDIUM,CHRYSLER,8161,8921,9314,10135,7781,8545,11777,12505,0.941783287,?,?,NC,7500,0,920,Yes,0
41,1254960000,8/10/2009 10:00,OTHER,2008,MAZDA,BLACK,AUTO,1,Alloy,54941,OTHER ASIAN,MEDIUM,OTHER,10221,10982,11539,12361,10186,10924,13002,13846,0.939043767,?,?,NC,8800,0,1003,Yes,0
42,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,1,Alloy,47593,AMERICAN,MEDIUM,CHRYSLER,9487,10565,10746,11910,10266,11359,13759,14841,0.927093862,?,?,NC,7800,0,834,Yes,0
43,1254960000,8/10/2009 10:00,OTHER,2008,MAZDA,SILVER,AUTO,1,Alloy,50277,OTHER ASIAN,MEDIUM,OTHER,10221,10982,11539,12361,9375,10183,13261,14146,0.937438145,?,?,NC,8800,0,1003,Yes,0
44,1254960000,8/10/2009 10:00,OTHER,2008,KIA,BLACK,AUTO,2,Covers,60723,OTHER ASIAN,MEDIUM,OTHER,7788,8744,8911,9944,5512,6630,8415,10122,0.831357439,?,?,NC,6200,0,533,Yes,0
45,1254960000,8/10/2009 10:00,OTHER,2008,CHRYSLER,NOT AVAIL,AUTO,?,?,47338,AMERICAN,MEDIUM,CHRYSLER,7150,7642,8222,8753,6741,7224,7780,8302,0.937123585,?,?,NC,6300,0,975,Yes,1
46,1254960000,8/10/2009 10:00,OTHER,2008,PONTIAC,WHITE,AUTO,?,?,48194,AMERICAN,MEDIUM,GM,9901,10811,11193,12176,8733,9267,12702,13347,0.951674534,?,?,NC,8800,0,905,Yes,0
47,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,RED,AUTO,2,Covers,61846,AMERICAN,SPECIALTY,CHRYSLER,11289,12047,12692,13511,10769,11612,12131,13041,0.930220075,?,?,NC,9500,0,1215,Yes,0
48,1254960000,8/10/2009 10:00,OTHER,2008,MAZDA,RED,AUTO,1,Alloy,49865,OTHER ASIAN,MEDIUM,OTHER,10221,10982,11539,12361,9272,10065,13185,14313,0.921190526,?,?,NC,8800,0,905,Yes,0
49,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,2,Covers,55695,AMERICAN,MEDIUM,CHRYSLER,8161,8921,9314,10135,7781,8545,11777,12505,0.941783287,?,?,NC,7500,0,920,Yes,0
50,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,WHITE,AUTO,2,Covers,47885,AMERICAN,MEDIUM,CHRYSLER,8161,8921,9314,10135,7781,8545,11777,12505,0.941783287,?,?,NC,7800,0,834,Yes,0
51,1254960000,8/10/2009 10:00,OTHER,2008,PONTIAC,GREEN,AUTO,1,Alloy,49399,AMERICAN,MEDIUM,GM,9901,10811,11193,12176,8796,9412,12987,13897,0.934518241,?,?,NC,8800,0,905,Yes,0
52,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,BLUE,AUTO,2,Covers,47679,AMERICAN,MEDIUM,CHRYSLER,8161,8921,9314,10135,7781,8545,11777,12505,0.941783287,?,?,NC,7800,0,834,Yes,0
53,1254960000,8/10/2009 10:00,OTHER,2008,CHEVROLET,RED,AUTO,?,?,49155,AMERICAN,COMPACT,GM,6817,7387,7862,8478,6404,6916,7416,7969,0.930606099,?,?,NC,6000,0,623,Yes,1
54,1254960000,8/10/2009 10:00,OTHER,2008,CHRYSLER,GOLD,AUTO,2,Covers,51381,AMERICAN,MEDIUM,CHRYSLER,8601,9223,9789,10461,7896,8500,11665,12413,0.939740595,?,?,NC,7500,0,920,Yes,0
55,1254960000,8/10/2009 10:00,OTHER,2008,CHRYSLER,SILVER,AUTO,2,Covers,59412,AMERICAN,SPECIALTY,CHRYSLER,11160,11963,12553,13420,11146,12153,15042,16022,0.938834103,?,?,NC,9000,0,1086,Yes,0
56,1254960000,8/10/2009 10:00,OTHER,2008,MAZDA,PURPLE,AUTO,1,Alloy,53137,OTHER ASIAN,MEDIUM,OTHER,10221,10982,11539,12361,9375,10183,13261,14146,0.937438145,?,?,NC,8800,0,1003,Yes,0
57,1254960000,8/10/2009 10:00,OTHER,2008,CHRYSLER,BLUE,AUTO,2,Covers,49066,AMERICAN,MEDIUM,CHRYSLER,7150,7642,8222,8753,6366,6963,10515,11501,0.914268324,?,?,NC,6300,0,975,Yes,0
58,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,2,Covers,58441,AMERICAN,MEDIUM,CHRYSLER,8161,8921,9314,10135,7781,8545,11777,12505,0.941783287,?,?,NC,7300,0,920,Yes,0
59,1254960000,8/10/2009 10:00,OTHER,2008,CHRYSLER,SILVER,AUTO,2,Covers,45718,AMERICAN,MEDIUM,CHRYSLER,7150,7642,8222,8753,6402,6949,9653,10060,0.959542744,?,?,NC,6300,0,975,Yes,0
60,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,2,Covers,56972,AMERICAN,SPECIALTY,CHRYSLER,11289,12047,12692,13511,10769,11612,12131,13041,0.930220075,?,?,NC,9800,0,1086,Yes,0
61,1254960000,8/10/2009 10:00,OTHER,2008,CHRYSLER,WHITE,AUTO,2,Covers,45827,AMERICAN,MEDIUM,CHRYSLER,7150,7642,8222,8753,6402,6949,9653,10060,0.959542744,?,?,NC,6300,0,975,Yes,0
62,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,BEIGE,AUTO,2,Covers,58033,AMERICAN,MEDIUM,CHRYSLER,7537,8141,8640,9292,6805,7301,7849,8385,0.936076327,?,?,NC,7000,0,754,Yes,0
63,1254960000,8/10/2009 10:00,OTHER,2008,CHRYSLER,SILVER,AUTO,2,Covers,49340,AMERICAN,MEDIUM,CHRYSLER,7150,7642,8222,8753,6535,6992,7558,8051,0.938765371,?,?,NC,6300,0,975,Yes,0
64,1254960000,8/10/2009 10:00,OTHER,2008,KIA,BLUE,AUTO,1,Alloy,49747,OTHER ASIAN,CROSSOVER,OTHER,9375,9972,10625,11270,7955,8692,11849,12947,0.915192709,?,?,NC,7500,0,623,Yes,0
65,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,2,Covers,51823,AMERICAN,SPECIALTY,CHRYSLER,11289,12047,12692,13511,10082,11064,13829,15201,0.90974278,?,?,NC,10100,0,1086,Yes,0
66,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,WHITE,AUTO,2,Covers,47635,AMERICAN,MEDIUM,CHRYSLER,8161,8921,9314,10135,7781,8545,11777,12505,0.941783287,?,?,NC,7800,0,834,Yes,0
67,1254960000,8/10/2009 10:00,OTHER,2008,CHRYSLER,BEIGE,AUTO,2,Covers,48261,AMERICAN,MEDIUM,CHRYSLER,7150,7642,8222,8753,6730,7324,9926,10599,0.936503444,?,?,NC,6300,0,975,Yes,0
68,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,BLACK,AUTO,1,Alloy,46200,AMERICAN,MEDIUM,CHRYSLER,9487,10565,10746,11910,9537,10938,13111,14179,0.92467734,?,?,NC,7900,0,834,Yes,0
69,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,BLUE,AUTO,1,Alloy,48584,AMERICAN,MEDIUM,CHRYSLER,8161,8921,9314,10135,7781,8545,11777,12505,0.941783287,?,?,NC,7800,0,834,Yes,0
70,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,2,Covers,51637,AMERICAN,MEDIUM,CHRYSLER,7537,8141,8640,9292,6967,7560,10921,11542,0.9461965,?,?,NC,7200,0,754,Yes,0
71,1254960000,8/10/2009 10:00,OTHER,2008,MAZDA,BLACK,AUTO,1,Alloy,53433,OTHER ASIAN,MEDIUM,OTHER,10221,10982,11539,12361,10228,11001,13542,14565,0.929763131,?,?,NC,8800,0,1003,Yes,0
72,1254960000,8/10/2009 10:00,OTHER,2007,CHRYSLER,SILVER,AUTO,2,Covers,42912,AMERICAN,MEDIUM,CHRYSLER,5751,6516,6711,7537,5471,6404,6409,7416,0.864212513,?,?,FL,6500,0,975,Yes,0
73,1254960000,8/10/2009 10:00,OTHER,2008,KIA,SILVER,AUTO,?,?,49632,OTHER ASIAN,CROSSOVER,OTHER,9375,9972,10625,11270,9229,9842,10467,11129,0.94051577,?,?,NC,7500,0,623,Yes,1
74,1254960000,8/10/2009 10:00,OTHER,2008,DODGE,BLACK,AUTO,2,Covers,50262,AMERICAN,MEDIUM,CHRYSLER,8161,8921,9314,10135,7857,8711,8986,9908,0.906943884,?,?,NC,7700,0,920,Yes,0
75,1255305600,12/10/2009 10:00,OTHER,2007,CHEVROLET,GOLD,AUTO,2,Covers,46710,AMERICAN,COMPACT,GM,6246,7165,7246,8238,6012,6913,9028,10068,0.896702424,?,?,TX,6200,0,623,Yes,0
76,1255305600,12/10/2009 10:00,OTHER,2008,DODGE,BLACK,AUTO,2,Covers,46830,AMERICAN,MEDIUM,CHRYSLER,8046,8794,9190,9998,7781,8545,11777,12505,0.941783287,?,?,TX,8100,0,834,Yes,0
77,1255305600,12/10/2009 10:00,OTHER,2008,DODGE,BLUE,AUTO,2,Covers,45882,AMERICAN,MEDIUM,CHRYSLER,8046,8794,9190,9998,7781,8555,8903,9739,0.914159565,?,?,TX,8100,0,834,Yes,0
78,1255305600,12/10/2009 10:00,OTHER,2008,CHRYSLER,RED,AUTO,2,Covers,44933,AMERICAN,MEDIUM,CHRYSLER,7032,7547,8095,8651,6656,7217,9947,10437,0.953051643,?,?,TX,6500,0,975,Yes,0
79,1255305600,12/10/2009 10:00,OTHER,2008,CHRYSLER,RED,AUTO,2,Covers,46809,AMERICAN,MEDIUM,CHRYSLER,7032,7547,8095,8651,6535,6992,7558,8051,0.938765371,?,?,TX,6500,0,975,Yes,0
80,1255305600,12/10/2009 10:00,OTHER,2008,CHEVROLET,GREY,AUTO,2,Covers,46864,AMERICAN,LARGE,GM,9610,10712,10879,12069,8054,9363,11578,13488,0.858392645,?,?,TX,8500,0,1328,Yes,0
81,1255305600,12/10/2009 10:00,OTHER,2008,DODGE,GREY,AUTO,2,Covers,45958,AMERICAN,MEDIUM,CHRYSLER,8046,8794,9190,9998,8676,9530,12186,13031,0.935154631,?,?,TX,8100,0,834,Yes,0
82,1255305600,12/10/2009 10:00,OTHER,2008,CHRYSLER,RED,AUTO,2,Covers,45564,AMERICAN,MEDIUM,CHRYSLER,7032,7547,8095,8651,6535,6992,7558,8051,0.938765371,?,?,TX,6500,0,975,Yes,0
83,1255305600,12/10/2009 10:00,OTHER,2008,DODGE,SILVER,AUTO,1,Alloy,45562,AMERICAN,MEDIUM,CHRYSLER,9380,10470,10630,11808,9647,10961,13121,14098,0.93069939,?,?,TX,8100,0,834,Yes,0
84,1255305600,12/10/2009 10:00,OTHER,2008,CHEVROLET,BLACK,AUTO,2,Covers,42535,AMERICAN,LARGE,GM,9610,10712,10879,12069,7998,9165,12308,13673,0.900168215,?,?,TX,8500,0,1328,Yes,0
85,1255305600,12/10/2009 10:00,OTHER,2008,DODGE,BLACK,AUTO,2,Covers,45496,AMERICAN,MEDIUM,CHRYSLER,8046,8794,9190,9998,7781,8545,11777,12505,0.941783287,?,?,TX,8100,0,834,Yes,0
86,1255305600,12/10/2009 10:00,OTHER,2008,CHRYSLER,SILVER,AUTO,2,Covers,46380,AMERICAN,MEDIUM,CHRYSLER,7032,7547,8095,8651,7282,7917,10382,10949,0.948214449,?,?,TX,6500,-1,975,Yes,0
87,1255305600,12/10/2009 10:00,OTHER,2008,CHEVROLET,BLACK,AUTO,2,Covers,45670,AMERICAN,LARGE,GM,9610,10712,10879,12069,9057,10237,12448,13849,0.898837461,?,?,TX,8500,0,1328,Yes,0
88,1255305600,12/10/2009 10:00,OTHER,2008,CHEVROLET,GREY,AUTO,1,Alloy,43584,AMERICAN,LARGE,GM,9705,10914,10981,12287,8622,9926,12534,14125,0.887362832,?,?,TX,8500,0,1328,Yes,0
89,1255392000,13/10/2009 10:00,OTHER,2007,CHEVROLET,SILVER,AUTO,2,Covers,50835,AMERICAN,MEDIUM,GM,6869,8201,7919,9357,7263,8398,10691,11848,0.902346388,?,?,CA,7050,0,837,Yes,0
90,1255392000,13/10/2009 10:00,OTHER,2007,KIA,RED,AUTO,?,?,60346,OTHER ASIAN,CROSSOVER,OTHER,9289,10316,10532,11641,9289,10316,10532,11641,0.90473327,?,?,CA,7050,0,728,Yes,1
91,1255478400,14/10/2009 10:00,OTHER,2008,CHRYSLER,BEIGE,AUTO,2,Covers,49207,AMERICAN,MEDIUM,CHRYSLER,6616,7086,7645,8153,7285,7812,10367,10941,0.947536788,?,?,NC,6300,0,975,Yes,0
92,1255478400,14/10/2009 10:00,OTHER,2008,CHEVROLET,RED,AUTO,2,Covers,50257,AMERICAN,COMPACT,GM,6369,6927,7379,7981,5833,6329,9484,10064,0.942368839,?,?,NC,6000,0,671,Yes,0
93,1255910400,19/10/2009 10:00,OTHER,2008,DODGE,GREY,AUTO,2,Covers,48003,AMERICAN,MEDIUM,CHRYSLER,7974,8741,9112,9940,7781,8545,11777,12505,0.941783287,?,?,NC,8000,0,834,Yes,0
94,1255910400,19/10/2009 10:00,OTHER,2008,CHRYSLER,WHITE,AUTO,2,Covers,52843,AMERICAN,MEDIUM,CHRYSLER,8275,8878,9437,10088,8009,8530,9150,9712,0.942133443,?,?,NC,7300,0,920,Yes,0
95,1255910400,19/10/2009 10:00,OTHER,2008,SATURN,SILVER,AUTO,2,Covers,58914,AMERICAN,MEDIUM,GM,9376,10444,10626,11780,10246,11519,14206,15408,0.921988577,?,?,NC,8300,2,1003,Yes,0
96,1255910400,19/10/2009 10:00,OTHER,2008,MAZDA,SILVER,AUTO,1,Alloy,56710,OTHER ASIAN,MEDIUM,OTHER,9735,10558,11014,11903,9416,10205,13586,14421,0.942098329,?,?,NC,8500,0,1003,Yes,0
97,1255910400,19/10/2009 10:00,OTHER,2008,PONTIAC,RED,AUTO,1,Alloy,50341,AMERICAN,MEDIUM,GM,9380,10383,10630,11714,8733,9267,12702,13347,0.951674534,?,?,NC,8500,0,1003,Yes,0
98,1255910400,19/10/2009 10:00,OTHER,2008,TOYOTA,GREY,AUTO,2,Covers,49677,TOP LINE ASIAN,COMPACT,OTHER,8823,9577,10029,10843,8315,9006,9480,10226,0.927048699,?,?,NC,7000,0,482,Yes,0
99,1255910400,19/10/2009 10:00,OTHER,2008,PONTIAC,BLACK,AUTO,2,Covers,58715,AMERICAN,LARGE,GM,9046,10034,10270,11337,8597,9561,9785,10826,0.903842601,?,?,NC,7500,0,1500,Yes,0
100,1255910400,19/10/2009 10:00,OTHER,2008,DODGE,WHITE,AUTO,1,Alloy,58462,AMERICAN,MEDIUM,CHRYSLER,8840,9502,10047,10762,8231,8887,12245,12931,0.946949192,?,?,NC,7200,0,754,Yes,0
101,1255910400,19/10/2009 10:00,OTHER,2008,PONTIAC,BLUE,AUTO,1,Alloy,58400,AMERICAN,MEDIUM,GM,9380,10383,10630,11714,8733,9267,12702,13347,0.951674534,?,?,NC,8500,0,1003,Yes,0
102,1255910400,19/10/2009 10:00,OTHER,2008,MAZDA,SILVER,AUTO,1,Alloy,57215,OTHER ASIAN,MEDIUM,OTHER,9735,10558,11014,11903,9727,10494,11623,12839,0.905288574,?,?,NC,8500,0,1003,Yes,0
103,1255910400,19/10/2009 10:00,OTHER,2008,CHEVROLET,BEIGE,AUTO,2,Covers,49011,AMERICAN,MEDIUM,GM,8152,8798,9304,10002,6957,8152,10929,12307,0.888031202,?,?,NC,7800,0,623,Yes,0
104,1255910400,19/10/2009 10:00,OTHER,2007,DODGE,SILVER,AUTO,2,Covers,51894,AMERICAN,MEDIUM,CHRYSLER,7742,9103,8861,10331,7139,8581,10841,12159,0.891602928,?,?,NC,6800,0,754,Yes,0
105,1255910400,19/10/2009 10:00,OTHER,2008,MAZDA,SILVER,AUTO,1,Alloy,58740,OTHER ASIAN,MEDIUM,OTHER,9735,10558,11014,11903,10186,10924,13002,13846,0.939043767,?,?,NC,8500,0,1003,Yes,0
106,1255910400,19/10/2009 10:00,OTHER,2008,PONTIAC,BLUE,AUTO,2,Covers,51099,AMERICAN,COMPACT,GM,8288,9318,9451,10563,7783,8414,11938,13074,0.913109989,?,?,NC,6900,0,671,Yes,0
107,1255996800,20/10/2009 10:00,OTHER,2008,DODGE,BLUE,AUTO,1,Alloy,48563,AMERICAN,MEDIUM,CHRYSLER,7967,8719,9104,9917,9111,10012,12397,13175,0.940948767,?,?,NV,8000,0,834,Yes,0
108,1255996800,20/10/2009 10:00,OTHER,2008,CHEVROLET,RED,AUTO,1,Alloy,46675,AMERICAN,COMPACT,GM,6560,7125,7585,8195,6121,6567,9540,10107,0.943900267,?,?,NV,6000,0,623,Yes,0
